person,r1item1,r1item2,r1item3,r1item4,r1item5,r2item1,r2item2,r2item3,r2item4,r2item5,r3item1,r3item2,r3item3,r3item4,r3item5
1,1,3,1,1,1,1,3,2,2,1,1,2,1,1,1
2,1,2,2,1,1,3,3,2,3,2,1,2,2,2,2
3,3,4,3,3,3,3,4,3,3,3,4,3,3,3,2
4,2,3,2,2,2,2,4,4,3,3,1,2,3,2,1
5,2,2,2,2,1,1,3,3,2,3,1,2,2,1,1
6,3,4,3,3,2,4,4,4,4,4,2,4,4,3,3
7,4,4,2,3,4,4,5,5,5,4,3,4,3,4,3
8,2,3,4,3,2,3,4,3,4,2,3,3,4,3,2
9,2,3,3,3,3,2,3,4,4,2,1,1,2,2,1
10,2,3,2,3,1,3,2,3,3,2,2,3,2,2,1
11,2,3,3,3,2,2,3,3,4,3,1,2,3,3,2
12,2,2,3,3,2,2,3,3,3,2,2,3,4,2,2
13,1,2,1,2,2,1,2,3,2,2,1,1,2,1,1
14,2,2,3,2,2,2,3,4,4,2,1,2,2,2,1
15,2,3,2,2,1,3,3,4,3,4,2,2,3,1,2
